Sample_ID	Mouse_ID	Description	Treatment	Group	Age_at_injection_weeks	Age_at_blood_collection_weeks	AMH	FSH	INHBA	
42	MeMo003	MeMo_6M_Vehicle_Pre-Injection_MeMo003	Untreated	CTL	24	24	198.901	0.24	849.455	
43	MeMo024	MeMo_6M_Vehicle_Pre-Injection_MeMo024	Untreated	CTL	24	24	169.642	1.12	1863.766	
44	MeMo022	MeMo_6M_Vehicle_Pre-Injection_MeMo022	Untreated	CTL	24	24	127.351	2.79	1348.027	
45	MeMo007	MeMo_6M_VCD_Pre-Injection_MeMo007	Untreated	VCD	24	24	367.768	6.49	289.347	
46	MeMo009	MeMo_6M_VCD_Pre-Injection_MeMo009	Untreated	VCD	24	24	70.985	5.34	141.75	
47	MeMo026	MeMo_6M_VCD_Pre-Injection_MeMo026	Untreated	VCD	24	24	181.786	4.07	419.176	
48	MeMo027	MeMo_6M_VCD_Pre-Injection_MeMo027	Untreated	VCD	24	24	240.951	10.96	413.383	
49	MeMo029	MeMo_6M_VCD_Pre-Injection_MeMo029	Untreated	VCD	24	24	140.321	4.78	529.188	
50	MeMo012	MeMo_8M_Vehicle_Pre-Injection_MeMo012	Untreated	CTL	31	31	136.612	0.24	561.075	
51	MeMo013	MeMo_8M_Vehicle_Pre-Injection_MeMo013	Untreated	CTL	31	31	248.988	8.91	353.164	
52	MeMo015	MeMo_8M_Vehicle_Pre-Injection_MeMo015	Untreated	CTL	31	31	190.307	12.74	874.309	
53	MeMo032	MeMo_8M_Vehicle_Pre-Injection_MeMo032	Untreated	CTL	31	31	178.858	5.94	411.236	
54	MeMo033	MeMo_8M_Vehicle_Pre-Injection_MeMo033	Untreated	CTL	31	31	267.946	2.95	321.646	
55	MeMo016	MeMo_8M_VCD_Pre-Injection_MeMo016	Untreated	VCD	31	31	251.022	7.11	351.29	
56	MeMo018	MeMo_8M_VCD_Pre-Injection_MeMo018	Untreated	VCD	31	31	258.022	56.4	620.418	
57	MeMo019	MeMo_8M_VCD_Pre-Injection_MeMo019	Untreated	VCD	31	31	228.844	5.43	751.127	
58	MeMo037	MeMo_8M_VCD_Pre-Injection_MeMo037	Untreated	VCD	31	31	273.301	0.24	335.587	
59	MeMo040	MeMo_8M_VCD_Pre-Injection_MeMo040	Untreated	VCD	31	31	255.396	3.68	1438.647	
60	MeMo001	MeMo_6M_Vehicle_Post-Injection_1	Safflower_oil	CTL	24	30	207.754	27.93	543.246	
61	MeMo002	MeMo_6M_Vehicle_Post-Injection_1	Safflower_oil	CTL	24	30	119.549	6.5	51.592	
62	MeMo003	MeMo_6M_Vehicle_Post-Injection_1	Safflower_oil	CTL	24	30	329.666	0.24	1642.12	
63	MeMo024	MeMo_6M_Vehicle_Post-Injection_1	Safflower_oil	CTL	24	30	166.338	1.98	1878.887	
64	MeMo022	MeMo_6M_Vehicle_Post-Injection_1	Safflower_oil	CTL	24	30	142.61	1.41	255.089	
70	MeMo012	MeMo_8M_Vehicle_Post-Injection_1	Safflower_oil	CTL	31	38	237.092	45.04	681.832	
71	MeMo013	MeMo_8M_Vehicle_Post-Injection_1	Safflower_oil	CTL	31	38	154.772	2.43	279.479	
72	MeMo015	MeMo_8M_Vehicle_Post-Injection_1	Safflower_oil	CTL	31	38	115.837	59.99	318.886	
73	MeMo032	MeMo_8M_Vehicle_Post-Injection_1	Safflower_oil	CTL	31	38	83.967	10.46	169.203	
74	MeMo033	MeMo_8M_Vehicle_Post-Injection_1	Safflower_oil	CTL	31	38	285.744	37.13	394.225	
